City,Module,Annual_kWh_mean,Annual_kWh_CI_lo,Annual_kWh_CI_hi
Singapore,EG-PF1,271.2,257.8,283.5
Singapore,EG-PF2,307.2,292.8,321.5
Singapore,EG-PF3,278.8,266.3,291.4
Singapore,EG-PF4,289.8,277.3,303.8
Singapore,Baseline,342.1,326.1,357.2
Singapore,SERIS Multi,230.2,220.5,241.4
Dubai,EG-PF1,394.0,376.5,412.8
Dubai,EG-PF2,446.4,426.2,466.5
Dubai,EG-PF3,404.5,384.5,423.5
Dubai,EG-PF4,420.6,402.8,439.5
Dubai,Baseline,493.5,470.2,516.5
Dubai,SERIS Multi,332.7,316.6,348.6
Berlin,EG-PF1,202.1,191.6,213.0
Berlin,EG-PF2,230.1,218.1,241.6
Berlin,EG-PF3,208.4,197.0,219.1
Berlin,EG-PF4,216.5,205.7,227.1
Berlin,Baseline,261.2,247.1,274.6
Berlin,SERIS Multi,175.7,166.5,184.5
Sydney,EG-PF1,311.0,296.8,326.4
Sydney,EG-PF2,352.5,335.4,369.4
Sydney,EG-PF3,320.1,305.3,335.1
Sydney,EG-PF4,332.6,317.2,347.5
Sydney,Baseline,396.5,378.4,415.0
Sydney,SERIS Multi,266.8,254.6,278.2
